symbol	P5482_SR_01	P5482_SR_02	P5482_SR_05	P5482_SR_06	P5482_SR_08	P5482_SR_09	P5482_SR_10	P5482_SR_11	P5482_SR_12	P5482_SR_13	P5482_SR_14	P5482_SR_15
Hmgb1-ps4	1	6	6	7	9	1	5	7	5	6	6	7
Hmgb1-ps5	281	90	160	280	419	182	331	149	228	199	223	197
Hmgb1-ps6	24	8	17	0	23	23	19	9	8	16	10	17
Hmgb1-ps7	99	45	49	49	51	69	61	64	32	61	60	63
Hmgb1-ps8	414	355	373	614	1075	565	802	465	506	781	757	791
Hmgb1-ps9	11	6	4	4	8	5	5	4	2	2	8	8
Hmgb1-rs16	75	7	16	67	80	57	57	41	63	28	38	29
Hmgb1-rs17	0	2	0	1	0	0	4	1	2	2	0	1
Hmgb1-rs18	0	0	0	0	0	10	0	0	0	0	0	1
Hmgb1l	0	0	0	0	0	0	0	0	1	2	0	0
Hmgb2	20915	12282	12102	7824	13717	8919	13611	7362	9730	10738	16570	8672
Hmgb3	1613	1799	756	1145	1081	1060	996	971	1080	1534	1536	1301
Hmgb3-ps	0	0	0	0	0	0	0	0	0	0	0	0
Hmgb4	0	0	0	0	0	0	0	0	5	0	0	0
Hmgb4os	4	0	0	0	0	0	0	0	0	0	0	0
Hmgcl	5708	4529	3925	3340	4762	4206	3985	3676	3478	6652	5752	5373
Hmgcll1	0	0	0	0	0	0	0	0	3	1	0	4
Hmgcr	6470	11070	6833	4604	10194	8936	8729	9450	13934	25401	14537	23691
Hmgcs1	7708	13080	7076	2873	10159	10072	8617	9683	12462	28694	13162	25964
Hmgcs2	39	3	0	39	0	9	0	0	5	1	0	8
Hmgn1	5709	6772	2768	6985	5665	6463	5427	5260	4186	6951	6136	5616
Hmgn2	9297	11787	8993	8337	11484	8929	10416	8180	7915	9500	12489	7162
Hmgn2-ps1	36	62	64	44	64	52	81	57	52	57	69	36
Hmgn2l6	0	0	0	0	0	0	0	0	0	0	0	0
Hmgn3	401	337	295	382	737	448	674	255	639	496	835	463
Hmgn5	4526	2991	2053	1699	2544	2516	2833	1966	2215	2599	3268	2225
Hmgxb3	607	1328	936	1260	1151	872	941	1105	1276	2491	1823	1831
Hmgxb4	1248	1661	1697	1216	1741	1123	1829	1127	1617	2689	2222	2605
Hmmr	2766	7554	5034	5182	6840	3778	7205	4092	5049	6457	8987	5506
Hmox1	12663	12671	9477	17178	6327	12485	5604	10536	12580	24839	12848	34151
Hmox2	7179	7161	6992	4831	7539	5853	7063	5182	7246	7405	8207	6496
Hmx1	0	0	0	0	0	0	0	0	0	0	0	0
Hmx2	5	5	5	0	3	7	7	5	4	13	5	9
Hmx3	0	0	0	0	1	0	0	0	6	0	4	0
Hnf1a	0	2	2	0	2	0	3	0	4	3	2	3
Hnf1aos1	5	0	0	0	0	0	0	0	0	3	0	1
Hnf1aos2	1	0	0	0	0	0	0	0	0	0	0	0
Hnf1b	22	5	0	0	2	0	0	0	4	6	4	7
Hnf4a	103	22	1	15	3	17	1	1	43	1	9	11
Hnf4aos	2	0	0	0	0	0	1	0	0	1	0	0
Hnf4g	1	0	0	0	0	0	0	0	4	3	0	1
Hnmt	1285	1573	1327	1528	1464	1221	1248	977	865	1404	1393	1216
Hnrnpa0	10891	10685	6661	9027	7332	6625	6008	7169	7006	12812	11109	7745
Hnrnpa1	26459	28827	23799	22124	31687	19275	30336	17693	25861	28487	37168	25307
Hnrnpa1l2-ps	10	9	12	13	2	32	12	11	1	6	15	3
Hnrnpa1l2-ps2	105	168	185	121	138	105	191	87	137	146	222	146
Hnrnpa2b1	47922	53139	46942	42587	62184	35662	58029	34429	51364	58564	71686	55166
Hnrnpa3	34035	38562	25647	30816	41302	27270	39025	23463	33800	40379	44388	37247
Hnrnpab	16623	14306	7445	17310	10078	13169	8725	11458	11772	20029	14998	15769
Hnrnpc	16327	11727	13640	9659	14166	9393	13680	8441	11994	13614	15730	13639
Hnrnpd	7725	6033	4377	5126	6966	3308	5582	3704	5258	5843	7417	5356
Hnrnpdl	7599	7261	6005	7390	9899	5131	9004	5531	8644	11073	11274	11410
Hnrnpf	15262	16230	10775	12385	14602	12372	12539	11044	13730	22863	18195	19769
Hnrnph1	12456	18907	16856	24600	30247	15372	27287	15826	20615	36377	28342	36630
Hnrnph2	5906	9057	7766	9195	8546	7146	7889	6441	7639	14187	10114	13121
Hnrnph3	1112	1264	1499	1515	2209	991	1898	1005	1538	1966	2289	1630
Hnrnpk	16789	24182	18362	21366	22291	18142	20658	16167	21732	33112	27020	32232
Hnrnpl	10984	13771	11371	13219	15993	10170	13082	10929	13256	21501	19170	17406
Hnrnpll	2487	3773	3230	3559	4409	2820	3689	2583	3573	5981	4804	5411
Hnrnpm	19975	25251	21228	21873	25985	16816	22372	17999	22637	32013	31689	27878
Hnrnpr	3873	4991	3782	4183	5389	2943	4741	3024	4532	5698	6314	4657
Hnrnpu	25179	40600	32622	33820	42226	21763	37100	24282	36931	46845	54892	40284
Hnrnpul1	8415	20016	14367	13663	15530	10254	13168	12089	13225	20654	21424	14980
Hnrnpul2	8136	23745	15949	19676	17234	12594	14528	14943	16395	34523	26928	25097
Hoga1	165	180	149	286	211	140	130	183	151	256	209	219
Homer1	530	1234	910	1333	1056	803	835	1031	981	3193	1338	2993
Homer2	0	0	2	0	2	10	2	3	11	2	2	1
Homer3	1552	2837	2030	3444	2381	2675	1948	2621	2273	6969	3430	5612
Homez	234	541	325	293	365	246	318	377	260	621	422	413
Hook1	31	45	34	30	31	15	58	19	59	61	53	53
Hook2	1126	1429	1495	1447	2143	930	1808	1097	1973	2091	2761	1729
Hook3	2202	7575	6264	6454	8099	3329	7595	4234	7029	11844	9528	12181
Hopx	127	233	44	185	79	247	49	152	69	203	39	173
Hopxos	4	0	1	0	2	0	0	2	0	0	2	3
Hormad1	3	1	8	24	12	11	8	3	10	7	1	9
Hormad2	23	2	0	0	1	0	8	4	0	2	0	1
Hotair	0	0	0	0	0	0	0	0	1	1	0	1
Hotairm1	126	51	58	151	61	57	61	71	54	160	95	129
Hottip	0	0	0	0	0	0	0	0	0	0	0	0
Hoxa1	73	63	39	26	76	76	81	61	135	102	124	84
Hoxa10	9	0	0	0	0	0	2	0	6	0	0	0
Hoxa11	0	0	0	0	0	0	0	0	1	0	0	0
Hoxa11os	1	0	0	0	1	0	0	0	1	0	0	3
Hoxa13	0	0	0	0	0	2	0	0	8	0	0	0
Hoxa2	1	6	7	0	15	8	12	9	14	11	13	19
Hoxa3	3	3	1	20	17	5	13	12	0	14	7	24
Hoxa4	31	8	6	18	27	16	14	20	8	27	39	15
Hoxa5	12	17	13	0	22	14	24	24	5	22	9	14
Hoxa6	1	9	0	0	0	0	1	0	0	2	1	1
Hoxa7	14	32	5	22	35	0	30	16	28	15	16	21
Hoxa9	4	10	0	27	5	33	7	8	13	6	2	2
Hoxaas2	5	16	5	12	7	9	11	4	17	30	15	40
Hoxaas3	69	23	28	21	36	10	40	13	27	29	49	18
Hoxb1	0	0	0	0	0	0	2	0	0	2	0	0
Hoxb13	9	2	4	0	0	19	0	3	7	0	0	8
Hoxb2	0	0	0	0	3	26	0	7	0	0	0	0
Hoxb3	18	34	49	53	43	7	59	14	34	32	33	14
Hoxb3os	0	1	0	0	2	2	2	0	4	2	1	1
Hoxb4	441	407	445	476	722	490	665	357	552	700	743	566
Hoxb5	2	2	0	0	0	0	2	0	0	0	0	0
Hoxb5os	1	0	0	0	0	0	0	0	0	2	0	1
Hoxb6	0	4	1	0	0	0	0	0	0	0	0	1
Hoxb7	10	0	2	0	12	0	1	0	6	0	7	2
Hoxb8	1	0	0	0	0	3	0	0	0	0	0	0
Hoxb9	0	0	3	19	0	1	0	0	1	2	0	3
Hoxc10	0	0	0	0	0	0	0	0	0	3	0	0
Hoxc11	0	0	0	0	0	0	0	0	5	1	0	2
Hoxc12	0	0	0	0	0	0	0	2	0	0	0	0
Hoxc13	0	0	0	0	1	0	0	0	0	2	0	0
Hoxc4	4	0	0	0	0	0	1	6	0	2	0	0
Hoxc5	5	0	0	0	0	0	0	0	0	0	0	0
Hoxc6	7	0	1	0	0	0	0	1	0	3	0	2
Hoxc8	0	3	0	0	0	3	0	0	2	0	0	0
Hoxc9	0	1	0	0	0	0	0	0	0	0	0	0
Hoxd1	0	0	0	0	0	0	0	0	0	0	0	0
Hoxd10	1	0	0	0	0	0	0	0	0	0	0	0
Hoxd11	2	0	0	0	0	0	3	0	0	1	0	2
Hoxd12	0	0	0	0	0	0	3	0	0	0	0	0
Hoxd13	0	4	0	15	0	6	2	0	2	3	0	1
Hoxd3	1	2	0	0	0	0	0	0	0	1	0	1
Hoxd3os1	2	0	0	0	1	0	0	0	0	5	0	0
Hoxd4	3	0	0	0	0	0	0	0	3	0	2	0
Hoxd8	8	5	0	0	0	0	0	0	9	2	0	0
Hoxd9	0	2	0	0	0	3	2	0	0	0	0	3
Hp	84	14	56	0	22	8	27	22	392	117	98	405
Hp1bp3	10530	22117	16098	17780	18755	13236	16695	13551	16103	24612	24242	19601
Hpca	0	1	5	0	6	0	1	0	8	2	6	0
Hpcal1	3920	5259	3301	4671	4651	4233	3963	4293	3938	8055	5482	5794
Hpcal4	0	1	0	0	0	2	0	0	1	0	0	0
Hpd	17	3	0	21	1	0	2	0	2	1	1	0
Hpdl	11	1	5	0	5	0	2	5	6	5	7	2
Hpf1	3937	2645	2314	2887	4482	1858	4087	1823	2981	2330	4215	2314
Hpgd	562	622	973	97	1221	100	1266	98	542	27	1451	19
Hpgds	12555	14600	24983	11004	38596	6993	35616	7704	25637	12308	38374	11041
Hpn	331	130	462	92	268	43	174	64	361	141	361	147
Hprt	13043	8995	8579	6810	11754	6642	11673	5429	8556	8019	12342	8181
Hps1	2519	2525	2383	2176	2896	1635	2426	1876	2636	3303	3733	2518
Hps3	2598	3176	3506	2855	3970	1802	3813	2334	4928	5312	5727	4882
Hps4	956	1388	1389	1616	1788	783	1359	1173	1524	2432	2427	1910
Hps5	1681	3618	3634	3146	4370	1976	3847	2349	3555	5043	5352	4225
Hps6	718	1268	793	1073	1087	933	771	1030	823	1686	1317	1421
Hpse	11722	12339	20841	6398	18905	5633	16511	5873	10644	4699	15266	4055
Hpse2	0	0	0	0	0	0	1	2	4	0	0	3
Hpx	20	18	9	18	28	6	16	1	24	25	24	13
Hr	4	21	15	174	18	73	25	54	13	459	14	183
Hras	3329	2288	1256	2169	1594	2345	1377	2208	1523	3386	2079	2742
Hrc	1	2	1	0	3	0	2	4	4	6	1	9
Hrct1	0	0	0	0	0	0	0	0	0	1	0	0
Hrg	0	0	0	0	0	0	0	0	0	0	0	0
Hrh1	27	38	57	89	88	12	49	32	48	17	90	22
Hrh2	30	26	18	24	50	8	24	12	47	8	41	9
Hrh3	0	0	0	0	0	0	0	1	0	0	0	1
Hrh4	0	0	4	0	2	0	0	0	5	0	3	2
Hrk	0	3	0	0	0	0	0	0	1	0	1	0
Hrnr	0	0	0	0	0	0	0	0	0	0	3	0
Hrob	573	1162	478	1172	1106	816	864	1258	700	2179	1461	1443
Hs1bp3	2076	2491	2299	1882	2280	1640	2076	1712	2107	2936	3383	2148
Hs2st1	2441	3798	2992	2648	3184	2343	2674	2095	2568	3778	4159	2900
Hs3st1	10	3	7	0	9	0	5	0	10	1	14	1
Hs3st2	0	0	0	0	1	0	0	0	0	1	1	0
Hs3st3a1	0	3	0	0	0	0	0	0	0	9	3	6
Hs3st3b1	4	18	8	23	12	7	6	2	49	25	43	36
Hs3st4	2	0	2	0	0	0	1	0	0	1	1	0
Hs3st5	0	0	0	0	0	0	1	0	2	1	0	0
Hs3st6	1	13	0	0	0	0	0	9	0	6	0	1
Hs6st1	1165	2346	1456	2456	2098	964	1833	1409	1575	2085	2546	1312
Hs6st2	0	0	0	0	0	0	0	0	4	3	0	3
Hs6st3	0	0	0	0	0	0	0	0	0	2	1	0
Hsbp1	8347	6819	5092	6424	5720	6867	5438	5482	5100	8942	6719	7793
Hsbp1l1	0	5	3	0	8	0	7	0	5	7	11	3
Hscb	1974	1485	1755	1026	1838	1240	1720	973	1420	1365	2005	978
Hsd11b1	4	7	1	38	3	32	11	31	13	94	2	115
Hsd11b2	22	23	20	67	17	22	7	15	27	62	26	32
Hsd17b1	31	29	60	54	85	25	68	27	72	76	185	64
Hsd17b10	5032	3089	2028	2641	2913	3076	2653	2488	3048	3725	3378	3724
Hsd17b11	11055	11453	11662	6696	10937	9120	10194	8015	9017	13805	13485	11292
Hsd17b12	10469	6561	4976	5207	5853	5707	5328	5043	7820	11165	9078	11820
Hsd17b13	0	0	2	0	2	0	0	0	4	6	0	0
Hsd17b14	80	45	34	0	39	17	42	44	55	104	65	57
Hsd17b2	6	0	1	0	0	0	0	0	3	3	0	0
Hsd17b3	1	0	0	0	0	0	0	0	5	4	0	2
Hsd17b4	5963	8282	6114	6658	7206	6217	6489	6060	6529	9893	9672	7644
Hsd17b6	0	0	0	0	0	0	1	0	3	0	3	1
Hsd17b7	722	1810	543	494	906	1512	680	1423	1238	5067	1014	4730
Hsd3b1	0	0	0	0	0	0	1	0	0	0	0	1
Hsd3b2	5	6	0	0	0	1	0	0	0	0	0	0
Hsd3b3	5	3	0	0	0	5	0	0	0	0	3	0
Hsd3b4	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b5	0	0	0	0	0	0	0	0	1	0	0	0
Hsd3b6	0	0	0	0	0	0	0	0	0	0	0	0
Hsd3b7	12	25	10	49	32	7	16	14	27	85	28	58
Hsdl1	4072	4378	3166	4146	3253	3299	2741	3108	3404	5804	4832	4495
Hsdl2	983	1585	1206	1614	1577	1216	1540	1078	1232	1570	1772	1388
Hsf1	787	1197	1041	1230	1269	1210	1061	1114	1347	2412	1729	1892
Hsf2	902	1347	854	1259	1603	1159	1370	1136	1349	2930	1836	3079
Hsf2bp	16	36	4	80	3	29	3	25	18	22	13	19
Hsf3	39	3	33	0	89	19	61	6	29	4	36	1
Hsf4	220	180	175	142	229	136	162	138	164	110	221	108
Hsf5	1	0	2	0	3	13	1	1	10	4	3	5
Hsfy2	0	0	0	0	0	0	0	0	0	0	0	0
Hsh2d	126	10	46	20	44	2	38	5	72	16	30	12
Hsp25-ps1	0	0	2	0	0	0	0	0	1	1	0	0
Hsp90aa1	23952	14044	7965	16216	15709	11842	14566	10524	14495	22643	16420	24675
Hsp90ab1	65613	70692	38198	62982	53552	64131	44114	59025	49794	89672	71066	72771
Hsp90b1	42555	41613	29714	35388	51515	35464	48022	33032	58250	59183	68605	63382
Hspa12a	18	6	7	27	12	12	3	17	9	12	4	11
Hspa12b	57	30	33	75	51	44	23	32	58	40	84	28
Hspa13	1811	2696	1926	2797	2662	2522	2455	2076	3916	4917	4258	5416
Hspa14	3131	2537	1943	2736	2665	2340	2452	2204	2244	4049	3403	3526
Hspa1a	253	358	310	611	174	328	150	323	263	1508	128	1251
Hspa1b	194	398	365	482	182	419	166	297	330	1540	108	1479
Hspa1l	17	38	33	66	46	41	31	32	39	96	35	89
Hspa2	563	585	494	532	505	394	394	400	349	691	514	389
Hspa4	10155	10794	8303	11481	9240	9138	8422	8321	10493	16899	12822	15710
Hspa4l	1573	4634	2545	4251	3586	3128	3281	3534	3724	12666	5155	12501
Hspa5	66106	49509	54796	47053	68267	41947	63634	37648	126813	71568	121921	86838
Hspa8	71326	95951	52400	50306	74340	89988	72266	77929	64761	108541	83971	95096
Hspa9	21650	25802	13300	34475	21830	19340	18994	18303	32970	30538	34983	29770
Hspa9-ps1	18	57	29	63	40	32	41	41	60	49	52	40
Hspb1	7	13	12	57	19	11	13	15	16	64	16	51
Hspb11	553	500	338	439	500	482	520	519	430	731	470	616
Hspb2	0	0	0	0	0	0	1	0	0	1	0	0
Hspb3	0	0	0	0	0	0	0	0	0	0	0	0
Hspb6	282	605	380	408	427	290	399	396	322	573	529	382
Hspb7	16	66	18	22	92	20	44	26	32	80	69	55
Hspb8	0	0	1	0	0	0	0	0	2	0	0	4
Hspb9	24	39	15	0	13	12	16	6	24	43	30	28
Hspbap1	446	401	291	329	444	276	371	304	374	678	625	506
Hspbp1	3845	3592	1875	3279	2683	4038	2299	3699	2641	5594	3722	4029
Hspd1	7857	8052	6024	7009	8001	5458	7419	5078	10506	8302	11613	8933
Hspd1-ps1	0	0	0	0	0	0	0	0	0	2	0	0
Hspd1-ps2	0	0	0	0	0	0	0	0	0	0	0	1
Hspd1-ps3	229	258	230	171	238	158	267	161	330	284	412	319
Hspd1-ps4	0	1	2	0	0	0	0	0	0	1	1	0
Hspd1-ps5	2	0	1	0	0	0	3	0	0	3	3	2
Hspe1	7116	3213	2699	3481	3304	3610	3279	2875	3672	3993	4294	3416
Hspe1-ps1	3	0	1	0	0	0	1	0	1	3	2	2
Hspe1-ps2	18	8	4	0	5	12	8	3	4	1	4	9
Hspe1-ps3	8	5	14	0	8	10	4	7	14	7	5	5
Hspe1-ps4	0	0	0	0	0	0	0	0	0	1	0	0
Hspe1-ps5	14	4	7	0	3	5	7	4	17	10	6	9
Hspe1-ps6	0	0	0	0	0	0	0	0	1	0	0	0
Hspe1-rs1	137	64	60	62	56	81	70	62	90	71	109	72
Hspg2	49	12	2	0	0	33	4	0	20	18	6	8
Hsph1	1128	2146	1127	3076	1500	1852	1412	1869	1909	3630	2502	3618
Htatip2	5451	5114	2903	5898	3000	5733	2727	5133	3991	8721	4716	7975
Htatsf1	3255	3509	2451	3424	3675	2519	3249	2295	2880	3981	4046	3474
Htr1a	2	0	0	0	0	0	0	0	1	0	0	2
Htr1b	0	0	0	0	0	0	0	0	0	2	0	0
Htr1d	0	0	0	0	0	0	0	0	1	1	1	1
Htr1f	0	0	0	0	0	0	0	0	0	1	0	0
Htr2a	73	169	50	120	200	88	159	107	155	270	148	332
Htr2b	212	173	297	251	165	119	183	93	96	95	215	71
Htr2c	0	0	0	0	0	8	5	0	1	2	0	6
Htr3a	0	0	0	0	0	0	1	0	0	1	0	0
Htr3b	0	0	3	0	3	0	2	0	0	3	1	2
Htr4	2	0	1	0	0	0	4	1	0	1	0	1
Htr5a	0	0	0	0	0	0	0	0	0	1	0	0
Htr5b	0	0	1	0	1	0	0	0	0	2	0	4
Htr6	0	0	0	0	0	0	0	0	0	0	0	1
Htr7	3	1	1	0	0	0	0	0	0	1	1	2
Htra1	8	19	17	44	19	3	15	9	24	13	19	9
Htra2	2602	2140	2143	1691	3345	1417	2879	1328	3049	2445	4456	2193
Htra3	32	54	14	82	30	45	10	67	8	21	6	10
Htra4	10	9	4	0	4	0	6	6	4	29	5	23
Htt	2859	6731	5417	5019	7360	2640	5966	3844	6209	9088	10220	7454
Hunk	0	4	4	0	0	0	0	0	0	7	3	4
Hus1	758	842	747	920	939	459	855	521	765	866	1082	782
Hus1b	0	2	0	0	10	0	5	6	6	7	10	6
Huwe1	3948	16021	10506	13019	13529	5247	11481	8777	14560	25229	21637	20496
Hvcn1	2029	2293	2884	1422	2142	1012	1728	1312	2768	1917	3582	2001
Hyal1	812	433	1080	923	1192	290	755	369	823	690	1274	591
Hyal2	1082	1159	837	1474	866	900	756	995	736	1601	1239	1244
Hyal3	38	26	29	22	35	0	22	26	33	47	31	21
Hyal4	0	0	0	0	1	0	0	0	4	2	0	0
Hyal5	0	0	0	0	0	0	0	0	4	1	0	0
Hyal6	0	0	1	0	0	1	0	0	2	1	0	0
Hydin	7	1	8	0	3	20	13	3	15	11	13	5
Hyi	1764	1467	1487	1416	3406	1378	2441	1189	2135	1866	2999	1608
Hykk	25	38	37	16	57	27	47	17	23	11	37	10
Hyls1	601	885	591	770	1022	549	873	724	693	1128	1205	943
Hyou1	5368	6879	4396	9414	6879	5365	5343	6314	11892	11385	14034	10779
Hypk	129	157	212	346	381	86	280	136	252	460	414	438
I0C0044D17Rik	0	0	0	0	0	0	0	0	0	1	0	1
I730028E13Rik	0	3	0	0	0	0	0	2	0	2	0	1
I730030J21Rik	96	76	33	37	29	92	28	53	27	71	32	72
I830077J02Rik	685	840	652	715	788	463	758	509	832	844	1031	611
I830134H01Rik	0	0	1	0	4	0	1	7	4	8	10	2
Iah1	3113	2041	2150	1604	2427	1770	2183	1605	2287	2482	2796	2341
Iapp	0	0	0	0	0	0	2	0	0	0	0	0
Iars	3512	5972	3805	7821	5290	3136	4374	3752	7914	8737	9022	7915
Iars2	2997	5280	3310	4819	4699	3129	3922	3491	4425	6311	6057	5245
Iba57	606	1045	610	966	741	748	564	889	617	1509	935	1057
Ibsp	0	0	0	0	0	0	0	0	0	0	0	1
Ibtk	1316	2556	1260	2339	2213	1766	1813	1749	2597	3635	2892	3678
Ica1	444	376	351	259	399	297	358	359	485	613	729	530
Ica1l	26	16	9	36	15	19	14	21	14	39	27	23
Icam1	2867	4853	4096	2930	3635	2311	2939	2917	6423	4452	6409	5136
Icam2	2284	773	1066	542	1091	635	1043	552	802	735	1240	587
Icam4	0	0	0	0	0	0	0	0	0	0	0	0
Icam5	18	20	26	20	45	0	36	7	40	8	52	17
Ice1	1685	4296	3318	3798	3866	1910	3267	2614	3771	8068	5388	6868
Ice2	460	657	904	730	1090	426	1041	451	848	804	1157	831
Icmt	1893	4441	2152	4081	2685	2693	2079	3534	2652	7333	3856	5477
Icos	20	81	78	52	103	6	117	32	60	20	110	6
Icosl	1162	1937	1080	1163	1242	1165	1123	1248	1107	1565	1391	1134
Ict1os	10	20	13	25	38	4	27	11	30	45	40	39
Id1	13	5	24	14	7	0	15	13	31	5	3	10
Id2	2283	1333	1306	1245	1746	1001	1647	945	2290	1898	2336	2296
Id3	41	248	45	324	35	369	35	307	20	551	44	438
Id4	1	0	0	0	0	1	2	0	0	0	0	4
Ide	3433	3854	1818	3082	2806	2038	3326	3353	4322	4820	4586	5062
Idh1	8796	19739	15053	11686	14654	15424	14048	14430	14202	32592	18689	31572
Idh2	6310	6600	4253	4302	5064	4736	4384	4311	4328	5098	6296	3467
Idh3a	1726	2129	946	2278	1530	1720	1359	1367	1708	2682	2027	2424
Idh3b	6744	8458	6964	6344	9616	7095	8993	6593	8233	11859	11518	10158
Idh3g	6588	7370	6065	5205	7549	6527	7245	5684	6295	8760	8730	7239
Idi1	1175	2544	1519	470	2186	1976	2074	1745	2515	5154	2934	4791
Idi2	0	2	0	0	2	0	0	0	0	0	1	2
Idnk	1911	1414	1408	1225	1658	1318	1499	1160	1613	1890	1816	1710
Ido1	7	6	0	0	1	0	0	0	9	3	0	6
Ido2	1	4	0	0	7	0	6	0	4	0	3	3
Ids	2241	6376	3760	3518	4721	2616	3866	3094	4319	5968	6047	4622
Idua	2300	2903	3343	3273	4451	1908	3620	2217	3179	3495	5358	2591
Ier2	1582	3085	1445	3601	1190	4415	939	4184	1062	9408	1452	6157
Ier3	638	1527	1204	2288	852	2302	625	2360	1402	13223	1445	14662
Ier3ip1	2037	1642	1406	1401	1729	1507	1557	1454	1344	2007	2017	2110
Ier5	6537	6492	6243	5689	6483	4295	5404	4604	5787	8814	8549	6042
Ier5l	685	472	294	338	288	244	290	331	258	380	504	188
Iffo1	1218	3825	2992	3860	4281	2106	3626	2737	3055	5422	4882	3740
Iffo2	667	1587	1032	1062	1307	756	1015	886	1270	2226	1846	1590
Ifi202b	10	1	6	0	3	0	3	1	9	0	7	0
Ifi203	9987	4836	17182	1982	17835	1496	16013	1954	24492	1217	21958	1536
Ifi203-ps	865	311	1408	117	1841	129	1426	92	2510	34	1779	39
Ifi204	9070	3440	8752	2668	6138	1528	5814	1562	11542	608	5950	973
Ifi205	117	12	69	5	77	27	57	3	212	7	76	12
Ifi206	1070	98	1181	144	568	51	475	19	1418	14	449	32
Ifi207	10760	6995	17490	5077	18676	2240	17479	2549	20860	2447	19665	2428
Ifi208	774	93	953	70	394	50	411	18	1002	6	404	8
Ifi209	6220	4386	8796	2498	6670	1676	6126	1727	9980	701	5035	1219
Ifi211	2692	796	2602	532	1720	296	1490	297	4109	120	1817	271
Ifi213	1291	137	1729	122	1157	16	1057	55	1940	8	591	28
Ifi214	110	76	199	56	103	23	96	26	156	10	76	18
Ifi27	3538	2362	2902	2178	2942	1913	2564	1800	2714	3703	4363	2580
Ifi27l2a	31432	11512	14107	5849	12172	11680	11670	8412	8401	4768	7290	7817
Ifi27l2b	8	3	2	6	0	10	4	0	7	0	0	4
Ifi30	8346	8283	6499	6026	6772	5879	5953	5951	5834	9114	8409	7301
Ifi35	5231	940	1931	1126	1549	1005	1331	964	3546	1177	2574	1306
Ifi44	941	117	1197	184	475	69	381	68	906	36	296	65
Ifi44l	0	0	0	0	0	0	0	0	0	0	0	0
Ifi47	3827	797	4033	356	2213	371	2013	420	5826	157	3054	237
Ifih1	2796	2611	5137	2075	4029	1209	3666	1299	7849	2008	6124	2039
Ifit1	4278	289	5293	167	1868	90	1667	93	12091	42	4809	99
Ifit1bl1	915	88	1751	49	316	42	252	34	2939	15	1265	42
Ifit1bl2	91	10	129	32	46	0	56	4	183	2	67	4
Ifit2	8628	1127	21075	831	6399	285	5576	356	38872	255	15341	433
Ifit3	7791	543	7424	309	3007	126	2363	197	10665	79	4586	165
Ifit3b	1295	78	1216	8	403	1	343	20	1642	10	737	16
Ifitm1	97	306	321	828	259	496	347	794	309	2788	409	2479
Ifitm10	11	5	8	7	8	0	12	15	12	23	23	20
Ifitm2	7102	7009	3887	4340	3047	8170	2710	7415	3378	15695	4109	12746
Ifitm3	81638	32469	38395	24268	29168	30913	26168	30084	43230	54255	36406	65626
Ifitm5	6	48	22	106	40	45	28	40	30	241	26	178
Ifitm6	4478	565	1223	389	617	661	528	566	1307	2332	975	2988
Ifitm7	0	0	2	0	0	0	0	0	0	4	3	2
Ifna-ps1	0	0	0	0	0	0	0	0	0	0	0	0
Ifna1	0	0	0	0	2	0	0	0	0	0	0	1
Ifna11	0	0	0	0	0	0	0	0	0	1	0	0
Ifna12	0	0	0	0	0	0	0	0	0	0	0	0
Ifna13	0	1	0	0	0	0	0	0	0	0	0	0
Ifna14	3	0	0	0	0	0	0	0	0	0	0	0
Ifna15	0	0	0	0	0	0	0	0	0	0	0	0
Ifna16	0	0	0	0	0	0	0	0	0	0	0	0
Ifna2	0	0	1	0	0	0	0	0	0	0	0	0
Ifna4	0	0	0	0	0	0	0	0	0	0	0	0
Ifna5	0	0	0	0	0	0	0	0	0	0	1	1
Ifna6	0	0	0	0	0	0	0	0	0	0	0	0
Ifna7	1	0	0	0	1	0	1	0	0	0	1	0
Ifna9	0	0	0	0	0	0	0	0	0	0	0	0
Ifnab	0	0	0	0	0	6	0	0	0	1	0	1
Ifnar1	6052	9002	7543	8759	9386	5620	8287	5704	9020	14424	12051	12927
Ifnar2	4744	5880	5982	4973	7002	4217	6248	4048	5798	6468	8150	5969
Ifnb1	7	0	0	0	6	0	1	0	0	0	0	0
Ifne	0	0	0	0	0	0	0	0	0	0	0	0
Ifng	0	0	0	0	1	0	0	0	0	2	0	0
Ifngas1	0	0	0	0	0	0	0	0	5	0	1	4
Ifngr1	7451	13654	10451	9390	11195	10335	10259	10551	9207	17817	12967	14178
Ifngr2	6739	6671	6889	5624	6302	6265	5809	5939	6602	13100	8660	12427
Ifnk	2	2	0	0	9	0	1	2	3	9	2	6
Ifnl2	0	0	0	0	0	0	0	0	0	0	0	0
Ifnl3	0	0	0	0	0	0	0	0	0	0	0	0
Ifnlr1	13	3	6	0	10	0	8	0	3	0	6	2
Ifnz	0	0	3	0	5	0	0	0	2	2	1	1
Ifrd1	2552	2694	1357	4613	1863	3517	1611	2783	3282	14181	3081	17479
Ifrd2	587	306	288	421	399	330	291	199	542	336	723	322
Ift122	378	1620	950	1247	1150	1064	948	1002	809	1547	1293	1049
Ift140	1302	3217	2094	2620	2412	1256	1986	1909	1837	3285	3300	2217
Ift172	1833	4148	4016	3344	4015	2017	3409	2664	3249	5372	5323	3523
