symbol	P4970_SR_1	P4970_SR_2	P4970_SR_3	P4970_SR_4	P4970_SR_5	P4970_SR_6	P4970_SR_7	P4970_SR_9	P4970_SR_10	P4970_SR_11	P4970_SR_12	P4970_SR_13	P4970_SR_14
ABHD13	65	505	82	673	222	745	419	76	281	122	452	224	651
ABHD14A	14	8	0	55	7	48	82	0	10	17	9	0	39
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	2
ABHD14B	82	179	65	236	178	365	196	14	190	21	182	8	237
ABHD15	261	168	105	276	436	442	635	30	246	39	210	66	188
ABHD16A	20	78	50	97	40	74	27	65	70	37	123	28	101
ABHD16B	105	150	272	175	83	76	223	309	279	394	156	111	118
ABHD17A	494	1192	468	1047	259	2121	1124	292	1179	474	1527	488	1455
ABHD17AP1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP3	29	8	0	5	15	42	14	12	34	0	16	0	25
ABHD17AP4	0	25	0	9	11	18	12	19	0	0	3	19	6
ABHD17AP5	4	0	0	0	16	27	0	15	0	0	14	0	27
ABHD17AP6	15	9	20	0	28	29	11	0	0	0	6	0	27
ABHD17B	149	154	127	245	347	458	356	41	109	192	187	56	126
ABHD17C	130	25	255	59	72	58	466	215	46	432	23	240	33
ABHD2	1213	3068	1125	4342	864	3005	4514	833	1971	948	3067	1333	5226
ABHD3	262	390	358	679	252	380	518	206	379	241	620	224	503
ABHD4	104	280	62	238	140	178	361	74	175	35	182	58	300
ABHD5	310	600	808	447	758	340	3072	2320	361	3281	435	1710	550
ABHD6	139	137	158	287	155	215	454	46	640	109	198	107	101
ABHD8	146	211	89	235	8	116	219	84	69	61	119	5	263
ABI1	851	1175	1030	1381	1201	1286	2489	796	883	1168	1331	941	1553
ABI2	131	92	215	128	175	289	434	114	372	309	338	72	109
ABI3	1132	1530	374	2072	296	1015	2678	290	2097	162	1418	544	585
ABI3BP	20	36	17	14	16	54	11	15	18	6	19	26	24
ABL1	316	685	392	791	449	590	1114	193	652	248	702	281	635
ABL2	4683	355	7449	466	2165	444	10602	6342	509	7581	466	4208	418
ABLIM1	20	7	27	17	1272	1291	40	63	33	12	193	33	21
ABLIM2	0	0	5	14	10	7	28	0	18	0	19	0	4
ABLIM3	34	0	44	11	0	4	229	10	58	29	5	17	5
ABO	0	0	0	0	0	9	17	0	21	0	44	6	2
ABR	3515	3329	2244	3626	1487	2364	5719	1251	3246	2018	3732	2036	3877
ABRA	8	11	0	3	1	0	0	0	0	0	20	0	1
ABRACL	112	423	174	583	133	390	468	106	273	140	424	108	499
ABT1	116	485	189	458	389	586	441	155	314	207	249	24	377
ABT1P1	0	10	0	0	0	2	0	0	0	0	5	0	3
ABTB1	276	1461	690	2149	481	1525	3520	798	2141	1355	1360	1686	1986
ABTB2	221	237	290	84	237	50	349	326	81	453	66	270	21
AC000003.1	0	0	0	13	0	0	2	0	10	0	10	17	11
AC000003.2	12	111	13	129	15	39	28	8	16	20	104	33	54
AC000029.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000032.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000036.4	0	3	0	0	0	0	0	0	0	0	0	0	0
AC000041.8	0	0	0	0	0	0	0	0	0	0	3	0	0
AC000067.1	0	0	0	0	0	0	0	0	0	0	0	1	0
AC000068.10	0	5	0	6	13	3	0	0	0	0	2	4	0
AC000068.5	0	9	5	5	19	29	8	0	0	19	9	0	4
AC000068.9	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000078.5	16	39	37	110	23	11	35	75	156	59	68	0	18
AC000081.2	0	0	0	0	0	0	0	0	0	0	5	0	0
AC000089.3	27	52	13	57	42	86	51	10	14	1	32	0	82
AC000095.9	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000099.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000110.1	0	0	0	0	0	0	5	0	0	0	0	0	0
AC000111.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000111.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000120.7	7	8	9	40	21	43	9	5	102	0	78	0	7
AC000123.4	9	21	20	30	54	51	137	27	37	29	77	6	36
AC000124.1	0	0	0	0	0	0	0	0	0	0	1	0	0
AC000362.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000370.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.4	0	1	0	10	0	0	0	0	12	0	10	0	5
AC002056.3	9	22	0	12	17	18	5	4	0	11	11	8	8
AC002056.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002059.10	3	0	9	7	0	0	0	0	32	8	1	0	0
AC002064.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002064.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002066.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002069.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002075.4	0	0	0	1	0	4	0	0	0	0	2	0	0
AC002076.10	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002115.9	0	0	6	0	0	0	0	0	0	18	0	0	0
AC002116.7	0	3	0	16	7	0	0	0	0	0	4	0	0
AC002116.8	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002117.1	0	29	7	4	0	14	0	14	0	20	19	18	10
AC002127.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002128.5	0	0	0	0	39	0	0	0	0	0	4	0	0
AC002306.1	0	10	21	3	39	20	8	0	0	68	8	7	0
AC002310.10	0	0	0	35	0	0	0	0	0	0	0	0	2
AC002310.12	0	0	0	13	14	2	3	0	33	3	14	0	2
AC002310.13	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002310.17	0	3	1	5	0	0	0	0	9	0	1	0	2
AC002310.7	14	0	0	0	0	0	0	0	0	0	0	0	2
AC002314.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002321.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002321.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002365.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002366.3	0	2	0	14	8	12	8	11	0	0	1	5	6
AC002368.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002383.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002395.1	2	0	0	16	0	0	0	0	0	0	1	0	0
AC002398.11	0	0	0	21	0	2	1	0	19	0	1	0	1
AC002398.12	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002398.13	0	10	0	9	0	8	9	0	0	0	3	3	16
AC002398.5	0	0	15	0	0	0	0	0	0	0	3	0	0
AC002398.9	0	0	0	7	0	0	0	0	0	0	0	0	0
AC002400.1	30	65	26	47	65	120	17	6	21	39	62	4	124
AC002401.1	4	20	11	33	28	0	8	0	31	0	15	0	17
AC002429.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0	0	0	0	5	0	0	0	0	0	0	0
AC002451.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002451.3	0	8	0	12	5	3	10	0	0	0	16	0	11
AC002454.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002456.2	188	44	203	5	60	1	127	182	10	133	20	71	35
AC002463.3	0	0	5	0	0	0	0	0	0	0	0	9	0
AC002465.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.7	9	35	7	40	0	13	23	9	2	0	16	9	27
AC002472.1	1	0	0	10	0	0	4	0	0	0	0	0	3
AC002472.11	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002472.13	3	8	0	0	0	0	0	0	0	0	0	0	3
AC002477.1	0	0	0	0	7	0	9	0	0	0	0	0	7
AC002480.2	72	0	25	0	6	0	28	12	0	5	0	0	0
AC002480.3	32	0	28	0	31	7	11	23	0	7	0	7	0
AC002480.4	17	0	0	0	17	7	0	4	0	15	0	11	0
AC002480.5	14	0	0	0	0	0	24	3	0	0	0	0	0
AC002485.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002486.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.1	11	0	3	0	0	0	7	9	0	65	0	105	0
AC002511.2	0	0	0	0	0	0	20	23	0	12	0	44	2
AC002511.3	0	32	19	0	16	0	24	71	0	183	0	238	4
AC002519.6	0	1	0	3	1	0	2	0	0	0	0	0	1
AC002519.8	0	0	1	0	0	0	0	0	10	0	0	0	0
AC002523.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	0	0	0	4	0	0	0	0	0
AC002539.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	0	0	0	0	0	0	0	1	0	9
AC002543.2	14	242	94	235	70	121	52	60	146	164	261	55	277
AC002550.5	0	8	0	0	0	0	0	0	0	0	9	0	0
AC002551.1	0	18	4	18	0	0	6	4	6	0	2	3	7
AC002553.1	4	2	0	3	12	0	8	5	12	15	3	13	2
AC002553.4	0	0	0	0	0	1	8	0	0	0	11	0	4
AC002558.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002979.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002984.2	0	28	0	15	0	0	0	0	0	27	4	0	3
AC002985.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002992.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002994.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003001.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.6	0	18	0	0	0	0	0	0	16	0	1	0	0
AC003003.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003005.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003005.4	0	3	0	0	0	0	0	0	0	0	0	0	0
AC003006.1	0	1	0	0	0	0	0	0	0	0	0	0	0
AC003006.7	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003009.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003029.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003035.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003043.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003051.1	0	0	0	0	0	0	0	0	0	0	0	5	5
AC003070.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003075.4	41	44	0	23	13	3	75	0	36	19	14	20	42
AC003079.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003080.4	140	6	303	6	60	8	201	128	4	233	25	330	8
AC003084.2	0	0	0	0	0	0	0	7	0	0	0	0	0
AC003088.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003090.1	0	0	0	0	0	5	0	0	5	0	0	0	0
AC003092.1	0	0	15	0	0	0	0	0	0	0	0	0	0
AC003092.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003101.1	27	0	38	4	3	0	5	8	0	15	2	35	0
AC003102.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003102.3	0	0	0	0	1	0	0	0	0	5	0	0	0
AC003104.1	67	97	122	113	118	91	270	114	112	171	143	52	109
AC003658.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003664.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003665.1	22	78	38	83	61	105	7	6	52	36	91	23	58
AC003666.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003681.1	0	1	0	0	0	0	0	5	0	16	6	26	2
AC003682.16	0	0	0	0	0	0	0	0	0	0	12	0	4
AC003682.17	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003956.1	0	20	0	12	0	0	10	0	22	0	6	0	2
AC003958.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003958.2	0	0	0	0	0	4	0	0	0	0	0	0	0
AC003958.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003968.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.4	0	0	0	0	0	0	0	0	0	0	0	1	0
AC003973.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003973.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.6	0	0	6	0	0	0	9	0	0	0	0	0	0
AC003986.7	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003989.3	0	8	0	0	14	9	3	0	18	0	4	0	6
AC003989.4	6	29	6	32	33	81	4	0	18	0	33	18	9
AC003991.3	16	4	2	17	32	0	56	33	0	27	18	70	7
AC004000.1	0	0	0	0	0	0	0	0	7	0	0	0	1
AC004004.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004006.2	0	0	0	0	3	0	0	0	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004012.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004014.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004014.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004016.1	0	0	0	0	0	0	0	0	0	0	5	0	0
AC004016.2	0	0	0	0	6	23	2	0	21	0	7	0	0
AC004017.1	0	9	0	0	0	20	0	0	0	0	0	0	1
AC004019.10	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004019.13	10	0	0	1	9	0	2	7	5	9	0	0	0
AC004019.18	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.7	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004022.8	0	0	0	0	0	0	0	0	0	0	0	1	0
AC004041.2	0	6	0	17	11	6	0	0	0	0	17	1	7
AC004051.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004052.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	0	0	0	0	0	0	5	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004057.1	40	157	15	23	6	20	87	0	12	92	82	2	25
AC004062.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004066.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004066.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004067.5	0	2	9	20	0	2	2	0	0	0	9	0	11
AC004069.1	0	0	0	0	0	0	0	0	0	0	0	18	0
AC004069.2	13	19	36	38	7	34	57	17	41	45	28	34	18
AC004070.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004074.3	7	20	1	9	14	1	0	0	5	17	13	9	20
AC004074.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004076.7	0	0	5	0	0	0	0	0	0	0	0	0	0
AC004076.9	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004112.4	0	3	3	14	0	8	39	4	5	13	7	10	2
AC004112.5	0	0	0	0	0	0	0	0	9	0	0	0	0
AC004112.7	0	0	0	0	0	0	0	0	0	0	0	24	0
AC004125.3	0	2	0	0	0	0	0	10	0	13	4	0	0
AC004129.7	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004129.9	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004156.3	0	0	0	8	0	0	3	0	0	13	7	0	8
AC004158.2	0	18	11	14	8	9	16	9	45	7	7	0	3
AC004158.3	0	2	0	5	7	7	0	0	0	0	3	0	0
AC004159.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004160.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004166.6	0	10	0	9	5	10	9	0	19	16	20	0	6
AC004221.2	0	0	0	0	0	0	15	0	0	0	3	0	0
AC004231.2	0	0	0	0	0	0	12	5	0	0	0	0	0
AC004231.7	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004237.1	0	0	0	0	0	8	0	0	0	0	0	0	3
AC004257.1	0	0	0	5	0	0	0	0	0	0	1	0	0
AC004257.3	0	15	0	15	4	19	5	8	46	9	18	10	19
AC004381.6	70	24	218	43	106	5	630	571	19	2455	7	256	11
AC004381.7	0	0	0	2	8	0	0	0	0	8	11	0	0
AC004383.3	0	0	0	0	6	0	0	0	0	0	4	7	0
AC004386.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.4	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004410.3	0	0	0	0	1	0	0	0	0	0	0	0	6
AC004447.2	33	64	13	68	42	39	41	0	87	0	73	0	46
AC004448.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004448.5	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004449.6	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004453.8	25	100	27	100	230	125	81	25	44	28	72	30	110
AC004458.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004460.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004461.4	0	16	0	11	15	3	0	0	0	8	21	0	1
AC004463.6	2	8	0	10	22	5	8	6	28	0	8	9	0
AC004466.1	0	0	0	0	7	9	0	0	0	0	8	0	7
AC004471.10	0	0	0	0	0	0	0	6	0	0	9	0	0
AC004471.9	31	44	6	51	0	51	22	0	33	24	56	8	50
AC004485.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004490.1	106	26	50	5	12	0	5	51	17	70	18	5	48
AC004492.1	0	0	0	1	0	0	0	0	0	0	0	4	0
AC004510.3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004520.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004528.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004528.4	0	0	0	0	0	0	3	0	0	0	2	1	0
AC004535.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004538.3	0	7	0	0	0	11	0	0	0	0	0	0	1
AC004540.4	5	0	20	1	0	0	16	40	0	16	23	53	0
AC004540.5	7	9	9	7	5	6	33	13	11	3	15	0	24
AC004543.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004543.2	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004549.6	10	15	0	0	0	0	3	2	0	0	16	0	12
AC004552.1	0	0	0	0	0	0	0	0	0	0	0	6	0
AC004562.1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004593.3	20	72	27	304	8	69	21	0	75	45	266	34	89
